Song Title,Artist,Status
canciones,LaCuerda,Downloaded
11 y 6,LaCuerda,Downloaded
Mariposa Tecknicolor,LaCuerda,Downloaded
un Vestido y un Amor,LaCuerda,Downloaded
Yo vengo a ofrecer mi corazón,LaCuerda,Downloaded
Petalo de Sal,LaCuerda,Downloaded
A Rodar mi Vida,LaCuerda,Downloaded
Polaroid de Locura Ordinaria,LaCuerda,Downloaded
el Amor después del Amor,LaCuerda,Downloaded
Fue Amor,LaCuerda,Downloaded
Giros,LaCuerda,Downloaded
13,LaCuerda,Downloaded
139 Lexatins,LaCuerda,Downloaded
A las piedras de Belén,LaCuerda,Downloaded
A medio paso de tu amor,LaCuerda,Downloaded
A quien sea mi hijo,LaCuerda,Downloaded
Abre,LaCuerda,Downloaded
Absolut vacio,LaCuerda,Downloaded
Acerca del niño proletario,LaCuerda,Downloaded
Actuar para vivir,LaCuerda,Downloaded
Ahi voy,LaCuerda,Downloaded
Al Lado Del Camino,LaCuerda,Downloaded
Alacrán (resaca),LaCuerda,Downloaded
Aleluya al Sol,LaCuerda,Downloaded
Alguna vez voy a ser libre,LaCuerda,Downloaded
Ambar Violeta,LaCuerda,Downloaded
Amor es dinero,LaCuerda,Downloaded
Arde,LaCuerda,Downloaded
Asilo en tu corazón,LaCuerda,Downloaded
"Ay bruja, bruja, brujita",LaCuerda,Downloaded
Ayer soñé con Walter,LaCuerda,Downloaded
B-Ode y Evelyn,LaCuerda,Downloaded
Bailando hasta que se vaya la noche,LaCuerda,Downloaded
Beatles por siempre,LaCuerda,Downloaded
Beauty,LaCuerda,Downloaded
Bello Abril,LaCuerda,Downloaded
Bohemia Internacional,LaCuerda,Downloaded
Brillante sobre el mic,LaCuerda,Downloaded
Buena Estrella,LaCuerda,Downloaded
Buenos Aires,LaCuerda,Downloaded
Cable a tierra,LaCuerda,Downloaded
Seguir viviendo sin tu amor,LaCuerda,Downloaded
Bajan,LaCuerda,Downloaded
Durazno sangrando,LaCuerda,Downloaded
Todas las hojas son del viento,LaCuerda,Downloaded
Canción para los días de la vida,LaCuerda,Downloaded
Los libros de la buena memoria,LaCuerda,Downloaded
Barro tal vez,LaCuerda,Downloaded
Cantata de puentes amarillos,LaCuerda,Downloaded
El anillo del Capitán Beto,LaCuerda,Downloaded
Las habladurías del mundo,LaCuerda,Downloaded
200 Años,LaCuerda,Downloaded
8 de octubre,LaCuerda,Downloaded
A 18´ del sol,LaCuerda,Downloaded
